nvalues,tauhats,sehats,lb,ub
366,-11.4337425446598,16.28472079285017,-43.35179529864613,20.48431020932653
368,9.664318214525847,16.22061883019539,-22.128094692657122,41.45673112170881
370,-17.311059348223242,16.587231401725585,-49.82203289560539,15.1999141991589
372,23.36324813586417,20.296205191871206,-16.417314040203394,63.14381031193173
374,-27.428581701090987,18.227559158206635,-63.15459765117599,8.29743424899402
376,24.91511831445034,18.619376782543032,-11.578860179334,61.40909680823468
378,33.69465576912916,17.29079095305127,-0.19529449885132522,67.58460603710965
380,-13.827152473559131,13.726354936297147,-40.73080814870154,13.076503201583275
382,-3.1654548472621418,13.64232961732766,-29.904420897224355,23.573511202700068
384,-15.998296836097943,22.440207332859273,-59.98110320850212,27.984509536306234
386,-3.448208742040072,19.22439014570983,-41.12801342763134,34.23159594355119
388,-3.3075483184484704,20.232250322310993,-42.962758950178014,36.34766231328108
390,-24.17905660880064,23.04630339139186,-69.34981125592869,20.991698038327403
392,6.985899457486976,28.18634835507442,-48.25934331845889,62.231142233432834
394,-14.52719548813678,16.48461407531868,-46.837039075761396,17.782648099487833
396,2.656851301023707,22.67117925221303,-41.77866003331383,47.09236263536124
398,-16.216247134637058,13.810236184202756,-43.28431005567446,10.851815786400344
400,-25.185356134297685,14.589402991147267,-53.78058599694633,3.4098737283509593
402,20.83024531924861,16.392390618841954,-11.298840293681621,52.959330932178844
404,1.0154254913385774,17.445828421540202,-33.17839821488022,35.20924919755737
406,5.659548105281409,24.67707809512695,-42.707524961167415,54.026621171730234
408,17.529496810707588,16.186860255853695,-14.196749290765652,49.25574291218083
410,-15.939277440358136,20.442869726280115,-56.00730210386716,24.128747223150885
412,22.880869897176076,12.002018475245336,-0.6430863143047816,46.404826108656934
414,-22.376692452219473,19.366426573621045,-60.33488853651672,15.581503632077776
416,26.263689131830404,15.742432116987018,-4.591477817464153,57.11885608112496
418,-14.522539290756754,17.442055565987285,-48.70896820009183,19.663889618578324
420,-8.842593539952952,13.004285057766854,-34.330992253175985,16.645805173270084
422,-13.86779276495317,16.421935912159658,-46.0547871527861,18.319201622879753
424,-2.762028490987272,22.921208836288603,-47.68759781011293,42.163540828138395
426,39.55352406784086,17.170420527404143,5.89949983412874,73.20754830155298
428,14.025058327841343,18.545679530497022,-22.32447355193282,50.374590207615505
430,-12.273000349251877,15.123964732247147,-41.915971224456285,17.36997052595253
432,10.441135868235005,15.008233224389688,-18.975001251568784,39.857272988038794
434,45.79831461713933,19.73566758417389,7.116406152158511,84.48022308212015
436,14.51177188711251,15.482140960295299,-15.833224395066274,44.85676816929129
438,-9.654792242237113,18.132072902088662,-45.19365513033089,25.88407064585666
440,4.383462856649633,19.372491954347307,-33.58662137387108,42.353547087170355
442,-7.406229827081424,14.8092340583383,-36.43232858142449,21.619868927261642
444,3.46922833430029,18.238946319346315,-32.27910645161849,39.21756312021907
446,13.848013668144384,20.566248454393545,-26.461833302466964,54.15786063875573
448,18.50147147305971,19.559504868053644,-19.835158068325434,56.83810101444485
450,-0.4414535078832029,22.539199505988222,-44.61828453962012,43.735377523853714
452,-16.046413994983673,18.840547060473153,-52.97388623351105,20.881058243543706
454,19.887840686525468,19.46472710596944,-18.263024441174633,58.038705814225565
456,38.81157827170375,23.083722685712253,-6.432518192292264,84.05567473569977
458,-0.8762952944399545,10.464847835506935,-21.38739705203355,19.634806463153637
460,-22.118447051009433,21.512943682511256,-64.2838166687315,20.04692256671263
462,-10.269320799549444,20.854074961862487,-51.143307724799925,30.604666125701034
464,-12.690812260897433,15.614112760508865,-43.29447327149481,17.91284874969994
466,38.28887918049059,17.389622040402514,4.20521998130166,72.37253837967953
468,23.011704842876426,18.724993870318926,-13.689283142948668,59.71269282870152
470,-6.062012554383125,19.181796944199746,-43.65833456501463,31.53430945624838
472,3.6303509871226556,14.451994146090117,-24.695557539213972,31.956259513459287
474,18.144845183181616,17.70114662996146,-16.549402211542848,52.83909257790608
476,-21.101803439627798,13.199925747722716,-46.973657905164316,4.7700510259087245
478,-39.71610358913758,15.6898604854817,-70.46823014068171,-8.963977037593448
480,1.532746059988364,22.206463854272066,-41.99192309438489,45.05741521436161
482,-2.9019645286372606,13.103322613490649,-28.584476851078932,22.78054779380441
484,-11.2576572335781,14.839109724422835,-40.34231229344685,17.826997826290654
486,-0.33588760687663566,16.50770335595306,-32.69098618454463,32.01921097079136
488,50.368333418274545,21.87687470441571,7.489658997619756,93.24700783892933
490,4.910462787523098,12.996909235734378,-20.563479314516282,30.38440488956248
492,9.766491864324292,15.283241313962238,-20.188661111041696,39.72164483969028
494,9.9686407400299,14.985733768478141,-19.403397446187256,39.34067892624706
